Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Norway,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2571.14174231,1876.88163098,3355.36366884
Sweden,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3178.6553848900003,2314.72178382,4123.62002193
Lithuania,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2792.1579228699998,2032.34084347,3620.7455878
Latvia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2814.69226385,2044.2271736500002,3634.9281206100004
Ireland,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2538.60926545,1856.72859321,3277.67392685
Iceland,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2769.67557317,2005.17593954,3602.04282088
United Kingdom,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3084.9218667100004,2267.53549317,3985.55150218
Finland,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3052.83167369,2229.94232306,3964.60169821
Estonia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2743.3836438499998,1991.9581679100002,3573.54057303
Denmark,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3967.6028314600003,2864.16951391,5141.83903551
Macedonia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2325.08327891,1664.0466125399998,3042.0050821600003
Montenegro,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2456.30505966,1768.95301155,3194.1028854
Croatia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2872.45850471,2088.4787529,3722.87237357
Malta,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2973.22734567,2176.11557746,3848.75351645
Slovenia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2948.0931589799998,2145.80546985,3823.17761056
Greece,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2967.91735626,2151.79268774,3876.56212009
Italy,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3074.10084354,2248.8963862,3981.21000193
Portugal,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3095.87431511,2272.6913475,3982.5872421
Serbia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2770.71644064,2019.23943815,3615.7975267099996
Spain,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2649.34571254,1935.24500507,3441.75135571
Bosnia and Herzegovina,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2624.27543369,1904.43885801,3407.35396986
Andorra,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3698.8407136600003,2624.14075007,5032.22935138
Albania,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2461.03144599,1760.75717975,3205.43904851
Netherlands,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3165.9263642499996,2304.41014308,4099.4607834299995
Luxembourg,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2778.22876438,2038.95771289,3595.44027695
France,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2718.51261114,1981.96380111,3519.73043681
Germany,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3289.0484125000003,2400.02336311,4253.363346720001
Switzerland,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3143.5660023699998,2307.83517212,4077.26677694
Belgium,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2903.2223809800003,2128.54366702,3783.41307937
Austria,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2769.4883811699997,2022.54050984,3566.40211015
New Zealand,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3032.74679234,2219.64846039,3914.7554614700002
Australia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2956.04372198,2168.23886566,3820.08611955
Papua New Guinea,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1412.5404312800001,1034.12637815,1843.5724364300002
Vanuatu,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1458.64926092,1074.16458594,1895.59685895
Solomon Islands,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1398.13717239,1022.92037658,1809.6735536
Fiji,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1755.1159524999998,1284.0342986399999,2290.92657765
Guam,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1941.6573083299998,1428.7238337499998,2514.51424713
Northern Mariana Islands,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1491.84438621,1077.23412274,1968.46881611
Marshall Islands,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1460.5544600100002,1070.74212959,1882.3014309100001
Federated States of Micronesia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1487.77770847,1099.39409693,1934.04075635
Kiribati,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1464.8551036000001,1073.87928321,1913.48943782
Samoa,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1518.73745163,1113.76153776,1973.11878567
Tonga,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1550.74632525,1133.69251137,2015.8350694500002
American Samoa,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1661.1837086,1213.66520207,2147.4730688600002
Canada,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2899.22487857,2140.29815162,3741.21826668
Egypt,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1959.1992556199998,1434.91241706,2545.0192328400003
Sudan,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1682.96232883,1219.25251174,2203.6478592
India,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1641.67773527,1201.2239477800001,2135.75250021
Pakistan,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1343.5441764700001,977.4262452419999,1741.9522002200001
China,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1973.76480397,1428.5701104500001,2576.64590074

"Global Burden of Disease Study 2016. Global Burden of Disease Study 2016 (GBD 2016) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2016."
"Available from from https://http://vizhub.healthdata.org/gbd-compare/"
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
