Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Cambodia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1899.70055183,1688.5175282300002,2119.48459612
Vietnam,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1433.5938918699999,1199.83080871,1660.96572207
Laos,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1980.5755562699999,1507.94414596,2648.5700272999998
Malaysia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",784.218348619,680.9857602310001,915.94763122
Thailand,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1152.47922034,988.278392246,1337.2079333
Brunei,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1229.03571588,972.797127423,1544.37391056
Philippines,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1021.9384861599999,897.459002752,1167.46586614
Indonesia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",986.6839254710001,868.9063150530001,1126.87740833
Singapore,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",856.4948578550001,610.597325926,1179.25643693
Timor-Leste,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1143.86552396,858.38814495,1462.11189243
Maldives,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",689.9492062989999,568.636105515,829.398651794
Nepal,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1394.99274446,1121.6903420899998,1665.3114368099998
Iran,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1071.8972209,868.844387393,1328.35481028
Sri Lanka,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1108.99831301,904.182335682,1346.92773424
Bhutan,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1410.8506914,1149.84145884,1695.3362189
Bangladesh,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1446.09592436,1123.59160376,1740.4875941599998
Afghanistan,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2904.50748381,2342.47750347,3591.7528929
Oman,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",777.5202961130001,617.464569662,990.617675153
Kuwait,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",736.019378127,557.715497265,964.214925357
Palestine,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",817.1488812839999,659.510061417,1004.29694447
Lebanon,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",732.8040226310001,517.341899383,1031.28865041
Qatar,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1078.4368216,805.4947668970001,1397.94690395
Saudi Arabia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1119.9965307300001,924.753179896,1347.59405911
Turkey,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",813.5470751309999,644.841432767,1023.31115181
Yemen,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1398.77549276,1111.06618409,1725.68233795
Iraq,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1872.33727216,1451.57335495,2280.94268371
Jordan,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",888.3651272369999,737.2206868339999,1065.8841079
Syria,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",641.352380074,474.755337823,857.590681437
Israel,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",803.977197188,612.310251525,1044.93584347
Georgia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1857.9063694299998,1507.31961004,2276.82007485
Cyprus,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1116.36947861,882.19840736,1425.28176689
Bahrain,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",762.417085551,587.3417086750001,994.1315809820001
Azerbaijan,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1692.6837642300002,1373.06113665,2050.95179847
Armenia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1415.79417788,1118.0905558700001,1776.51160676
United Arab Emirates,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1393.62006819,1064.35771789,1766.23510175
Moldova,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2146.45338518,1758.4819165000001,2602.02942497
Hungary,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2143.62247102,1645.41128933,2743.76978826
Poland,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2101.07257716,1635.6430462299998,2675.75838337
Romania,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2205.73458694,1728.2760745,2760.3873813100004
Ukraine,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2523.1658834600003,2008.9790415599998,3117.07856846
Belarus,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",3022.48117537,2436.82814528,3722.2845105700003
Czech Republic,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2291.33348621,1734.9971702300002,2970.61753504
Russian Federation,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",3008.85352971,2334.71648426,3882.64671318
Slovakia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2131.99202275,1676.92381955,2729.1696164
Bulgaria,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2008.24791069,1537.96497498,2572.1267794699997
Norway,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1111.96128608,851.52502644,1440.86263125
Sweden,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1171.0798094499999,889.324053463,1529.4886084
Lithuania,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2995.53014106,2485.41940832,3629.39684694
Latvia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2723.52550096,2231.31130679,3310.9294939300003
Ireland,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1010.68862215,753.632747562,1330.93891728
Iceland,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",950.402351883,722.549353369,1242.0856623500001
United Kingdom,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1014.18213656,771.379613882,1335.7047138799999
Finland,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1487.8247222,1146.0781553900001,1908.5301454399998
Estonia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2367.85414631,1883.6246859100002,2952.06584711
Denmark,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1060.24339473,800.907193267,1397.9740919
Macedonia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1481.5698630699999,1118.18293327,1950.5649523000002
Montenegro,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1783.2742027900001,1374.3739899500001,2288.0691417
Croatia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1869.0901097100002,1445.46963606,2386.41337891
Malta,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1128.4849677,856.3043316479999,1481.96519767
Slovenia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2587.9291259,1936.7216525100002,3359.89345705
Greece,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1083.2196593899998,828.1060643679999,1399.0623902500001
Italy,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1112.90025598,834.862704123,1464.5797704200002
Portugal,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1037.87618613,803.835841801,1334.9927194099998
Serbia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1654.11504145,1270.60385984,2129.59668628
Spain,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1034.52187248,779.038423842,1363.5477511099998
Bosnia and Herzegovina,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1576.05868344,1159.38670471,2071.1583630600003
Andorra,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1107.12265626,822.749291384,1459.14272463
Albania,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1428.2919880900001,1097.5474207099999,1860.7032887599999
Netherlands,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",901.103629275,683.496700493,1173.21166807
Luxembourg,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1077.6060806399998,834.7222391429999,1396.33728124
France,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1363.59029033,1085.54826624,1709.5799158999998
Germany,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1152.5989122400001,884.277509965,1508.4258390100001
Switzerland,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1139.3888934,864.0822242969999,1491.88166444
Belgium,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1324.10026511,1035.9413008,1693.9415825800002
Austria,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1265.6427448,979.739567767,1635.58758822
New Zealand,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",918.5272261309999,708.739614818,1189.5768057199998
Australia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",877.4051384750001,669.935818704,1148.29057325
Papua New Guinea,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2297.43605303,1855.46266257,2824.45180248
Vanuatu,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2001.85905043,1655.5948922700002,2406.9580332
Solomon Islands,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1943.38450592,1612.0719699600002,2297.19843911
Fiji,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1705.8730355599998,1378.33697574,2089.18323824
Guam,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1060.53494028,887.0332397640001,1257.04823555
Northern Mariana Islands,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1003.94342248,808.3038869869999,1219.05131952
Marshall Islands,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1608.1979652500002,1304.36596076,1913.787093
Federated States of Micronesia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1606.46996503,1296.22297191,1952.69577639
Kiribati,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1506.78805304,1093.14834691,1960.1892211000002
Samoa,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1119.02472343,901.6824653860001,1399.80081512
Tonga,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1516.06809392,1231.23753392,1825.61273824
American Samoa,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1314.68195855,1112.93712296,1550.6122354499998
Canada,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1071.68802807,824.085855591,1400.0446915
Egypt,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",883.626118414,706.534219826,1080.2643412
Sudan,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1659.22413452,1348.40881451,2053.67235411
India,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1910.99767079,1609.1192232399999,2182.5943117
Pakistan,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1245.12201488,1036.94065499,1484.30056354
China,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1175.3625177499998,955.2280714450001,1359.46963594

"Global Burden of Disease Study 2016. Global Burden of Disease Study 2016 (GBD 2016) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2016."
"Available from from https://http://vizhub.healthdata.org/gbd-compare/"
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
